gender,age,entry_year,field_of_study,most_used,usage,usage_schedule,device,habits1,habits2,habits3,habits4,study1,study2,study3,study4,mental1,mental2,mental3,mental4,lifestyle1,lifestyle2,lifestyle3,lifestyle4,usagerate1,usagerate2,usagerate3,usagerate4,usagerate5,usagerate6,track_usage,usage_per_day,reduce
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok, YouTube",4:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",4,5,1,2,3,3,4,2,2,3,4,3,4,3,3,4,2,4,3,3,4,4,Có,4:00:00,"Có, nhưng không thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, YouTube",3:00:00,"Buổi sáng, Buổi tối","Điện thoại di động, Máy tính xách tay",5,4,2,2,2,4,3,2,1,1,3,1,4,2,2,1,1,2,2,2,2,3,Có,3:00:00,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok, YouTube",4:35:15,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",5,5,1,4,3,5,5,2,4,3,2,2,3,3,5,3,2,1,2,3,3,2,Có,3:50:12,"Có, nhưng không thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, TikTok",26:30:01,"Buổi sáng, Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ, Cả ngày","Điện thoại di động, Máy tính bảng, Máy tính xách tay, Máy tính để bàn",1,1,1,4,4,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,Không,27:00:00,Không
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok",4:00:00,Trước khi đi ngủ,"Điện thoại di động, Máy tính để bàn",4,4,1,3,2,3,4,4,1,1,3,1,3,1,1,1,1,1,1,1,1,1,Không,,Không
Nam,18 - 20,K19,Công nghệ Thông tin,"TikTok, YouTube, Chrome ",2:00:00,"Buổi tối, Trước khi đi ngủ",Điện thoại di động,5,3,1,4,3,3,5,5,2,1,1,1,5,3,4,1,1,1,1,3,1,1,Không,,"Có, nhưng không thành công"
Khác,18 - 20,K20,Công nghệ Truyền Thông,TikTok,24:00:00,Cả ngày,"Điện thoại di động, Máy tính bảng, Máy tính xách tay, Máy tính để bàn, tivi ",5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,Không,24:00:00,Không
Nữ,18 - 20,K20,Công nghệ Thông tin,"Facebook, Instagram, TikTok",4:00:00,"Buổi tối, Trước khi đi ngủ, Không có khung giờ cố định","Điện thoại di động, Máy tính xách tay",4,3,4,5,2,4,4,3,1,1,3,3,3,1,1,1,1,4,1,2,1,1,Có,3:52:16,Không
Nam,18 - 20,K20,Công nghệ Thông tin,YouTube,12:00:00,"Buổi sáng, Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ, Cả ngày, Không có khung giờ cố định","Điện thoại di động, Máy tính xách tay",5,4,2,3,4,4,4,3,1,5,3,2,4,3,3,4,3,2,4,3,3,3,Không,,"Có, thành công"
Nam,18 - 20,K19,Thiết kế,"Facebook, Instagram, YouTube",1:01:01,Buổi chiều,Điện thoại di động,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Có,1:01:01,"Có, thành công"
Nam,18 - 20,K20,Công nghệ Thông tin,Facebook,3:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính bảng",2,2,2,2,3,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,Có,,"Có, thành công"
Nam,18 - 20,K20,Công nghệ Thông tin,"Facebook, Instagram, YouTube",2:02:02,"Buổi sáng, Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ, Không có khung giờ cố định",Điện thoại di động,5,3,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Có,2:02:02,Không
Nam,18 - 20,K19,Công nghệ Thông tin,"Instagram, TikTok, YouTube",5:30:00,"Buổi trưa, Buổi chiều, Buổi tối","Điện thoại di động, Máy tính xách tay",4,5,2,4,2,4,5,2,2,1,4,1,2,1,2,1,1,1,1,1,1,1,Có,4:27:00,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok, YouTube",9:30:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",5,4,1,3,3,5,5,2,1,1,5,1,3,3,4,1,1,2,1,2,1,2,Có,7:00:00,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, YouTube, Twitter/X",8:00:00,"Buổi chiều, Buổi tối","Điện thoại di động, Máy tính xách tay",4,5,5,5,4,5,5,5,3,3,5,5,4,4,4,3,3,1,3,3,1,3,Có,6:21:56,Không
Nữ,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok, YouTube",1:00:00,Không có khung giờ cố định,làm sao biết mail tôi ???,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Không,0:00:00,Không
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, TikTok",2:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",4,4,2,5,4,4,3,1,1,4,3,2,1,1,2,2,1,1,1,2,2,2,Không,,"Có, thành công"
Nam,18 - 20,K20,Công nghệ Thông tin,"Facebook, Instagram, YouTube",2:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",4,4,1,3,1,4,4,1,2,2,3,1,1,1,2,1,1,1,2,1,2,2,Có,3:06:00,"Có, thành công"
